RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021
102001,0,United States,Country,,271600,272967,279333,288667,295633,299267,299897,299597,299130,298467,297100,294233,291567,292933,297967,306333,314167,320600,322233,319733,315300,311967,306967,303267,299800,301467,306500,312922,320255,327755,334833,339833,342113,343091,342091,337312,332967,333300,340963,354330,367663
394913,1,"New York, NY",Msa,NY,517633,522967,534333,544667,554667,560000,560000,554667,549667,549667,550000,549667,549333,549333,554667,563333,573300,578267,578267,574633,573000,574333,577667,579000,577667,579633,586300,594300,599000,602333,612633,629300,642667,649367,652367,656000,662333,668000,673000,673333,668300
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,797667,802267,815933,832933,846633,849633,841300,824267,801267,784600,771633,761600,752933,749633,759667,776629,801963,821963,838000,845667,845666,845933,845933,848933,849333,865000,882000,885333,880996,890663,922330,953000,963000,969667,974633,987967,995633,998667,999312,999975,1000242
394463,3,"Chicago, IL",Msa,IL,301000,305967,319300,335967,345967,347967,343300,336500,329833,324800,318300,309933,303267,306600,319633,336000,345667,347667,344333,337967,331300,324933,319600,311267,306300,309967,319967,327967,331333,336333,343300,348300,349967,349667,346000,340177,332177,332510,338300,346633,353093
394514,4,"Dallas-Fort Worth, TX",Msa,TX,342000,345333,351663,359818,366151,365988,359467,350983,344450,341117,339600,337967,335500,335800,340767,348267,354933,356300,354577,349543,344877,341600,339997,338330,335327,334660,336327,339297,343217,348217,354883,358267,359933,358630,355993,352660,350993,353630,359960,369597,379630
394974,5,"Philadelphia, PA",Msa,PA,252633,249633,253433,260400,269733,275967,279300,278267,276233,274433,271633,266167,258000,254133,257967,267633,279147,287780,293113,293300,293333,293633,293633,290300,286633,286600,289933,294633,301333,311333,323333,333000,336300,337933,334933,331600,324933,321600,321633,326667,332467
394692,6,"Houston, TX",Msa,TX,323881,326348,329765,334632,338165,339667,336467,331467,325018,321552,318218,316500,315000,316333,319667,324667,328833,330221,328521,324654,320397,317597,315263,312897,310393,309760,312647,315111,319777,324126,330332,335298,339967,341263,340756,337089,335125,334662,339662,347993,358663
395209,7,"Washington, DC",Msa,DC,431360,431030,441367,452667,464667,474667,479667,476333,466663,461630,456597,449900,443233,443267,454967,471667,488000,496000,495667,489300,484633,483460,485160,483460,481633,486600,501600,513233,522933,531300,543000,549967,546633,539967,531500,524830,518163,514997,514667,521338,527171
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,398604,398604,399950,401295,402944,403280,403582,403280,402944,402641,401632,400286,398941,398604,399950,401295,402977,403313,405332,405450,405450,403768,403650,403650,403650,403650,405332,404995,404659,402641,402977,404962,406980,408763,407565,404667,401663,399963,401630,409967,425000
394347,9,"Atlanta, GA",Msa,GA,309936,314817,323484,335327,344667,349633,344800,337800,329500,324826,320626,317259,313733,313267,316800,326500,337833,344333,344407,339652,334618,330212,326967,325000,323667,323667,325667,327252,330585,336711,344459,351126,354667,356333,354667,351633,349967,353267,361633,378267,391633
394404,10,"Boston, MA",Msa,MA,540965,543298,563633,583333,597667,595967,579600,556567,539600,535633,535600,530933,528233,533300,549967,571333,589333,596000,594633,586633,579967,576333,576333,576300,574967,582967,597967,606267,614900,623233,639900,648233,649900,656600,662967,664967,664633,671600,682933,691600,694933
395057,11,"San Francisco, CA",Msa,CA,807667,824333,857667,899667,924667,937667,921000,880333,850667,842333,838000,820000,799333,802667,830667,867667,901000,907983,904946,886613,886296,889333,895667,879000,862500,874500,899833,916333,924667,948833,982167,998167,998667,998667,998840,995507,991840,988667,988333,991667,993667
394532,12,"Detroit, MI",Msa,MI,219933,218267,224933,238633,253633,263333,264633,259600,251600,244633,237967,231267,226600,226600,233300,246600,259933,269900,271267,267633,258633,248933,239267,231633,225667,223967,227300,233267,244634,261134,277800,286467,283300,278300,271633,266300,261333,264000,272667,285967,294933
395025,13,"Riverside, CA",Msa,CA,391000,393833,397167,402833,406633,409967,409933,406633,403300,399966,399633,398633,398333,398633,402967,408300,415000,419967,423300,423300,420000,416667,415000,414833,414833,418167,423000,426333,428000,434667,446333,461333,471667,480000,485000,490000,491633,493300,494937,506637,519970
394976,14,"Phoenix, AZ",Msa,AZ,332633,338300,346422,351722,354722,353267,349967,344966,341633,339633,339300,339300,341266,343933,347300,351667,355967,359300,359963,360997,362663,364333,366663,369963,375963,382600,388967,384600,379633,378300,388300,396633,399967,399967,399633,399600,401967,405600,413967,423546,436913
395078,15,"Seattle, WA",Msa,WA,508147,524980,554663,579333,595983,598300,590300,578633,566300,562966,557983,557331,560665,577315,601633,626617,641617,643300,634983,624650,616317,614633,616317,621300,631283,648250,664600,664300,661000,661000,669667,672967,664967,654297,640997,637330,641333,656333,673000,688000,702330
394865,16,"Minneapolis-St Paul, MN",Msa,MN,354998,372301,387845,393427,391693,383813,375144,367897,360269,356454,351565,351531,357044,369215,384818,393487,395221,388320,382634,373965,368729,362280,361898,361933,368903,379652,390051,393518,393379,393379,395078,393483,386552,378923,370290,370255,371321,379927,388133,392967,392967
395056,17,"San Diego, CA",Msa,CA,704333,721000,735667,749333,749592,749592,742592,725967,706267,689933,681633,676667,676333,681317,692983,712983,732667,745667,746000,746000,746000,745629,742296,742296,744333,754333,768000,769633,768300,778300,811633,833300,831633,819333,809000,809000,813000,833000,844667,859333,856333
395121,18,"St. Louis, MO",Msa,MO,190800,191267,196433,204800,213133,218267,219667,219367,219067,217667,214667,209967,206300,207933,216267,227933,237967,243000,244167,242467,240767,238267,234933,230300,229300,232633,238933,244233,250600,256600,260633,260453,258786,257120,254267,250267,248600,253933,263300,273933,276590
395148,19,"Tampa, FL",Msa,FL,260830,260830,262473,265828,270693,273916,273884,270984,267761,264571,262605,260317,259673,259673,262928,268406,276172,281328,282907,281615,280294,279972,278364,276462,273709,273677,274640,274525,276137,280007,286452,292897,297087,301920,301953,300986,299442,299510,303567,313267,329633
394358,20,"Baltimore, MD",Msa,MD,303233,299900,304933,313300,326633,337967,345967,345967,341633,335300,328666,320000,313333,311667,316667,327663,339330,347663,350500,350467,347100,341600,334800,328133,323100,323233,329933,339600,347967,356300,363300,364967,361633,355000,348300,341567,334529,334529,339596,346633,355000
394530,21,"Denver, CO",Msa,CO,,,,,,,,,494667,487667,481000,477667,481333,492205,507538,519205,523333,521667,516667,509967,502967,497967,497967,500300,510300,526967,541633,544967,541667,541667,548330,551663,545330,533667,523666,524996,531663,544607,557943,576277,591997
394982,22,"Pittsburgh, PA",Msa,PA,171600,169933,173233,177267,182900,184600,183900,181600,179900,178267,175933,172630,170930,170930,175600,182267,189933,195233,198567,199600,198933,195600,190933,184933,183266,185633,192300,197300,204767,214767,226633,233133,233167,233000,231633,231300,229600,232633,236300,243000,246667
